season,week,away_team,home_team,away_score,home_score,spread_line,model_spread,model_pick,expected_value,total_line,predicted_total,over_under,ats_result,total_result
2023,4,ARI,SF,16,35,15.0,SF -14.0,ARI +15.0,1.51%,44.0,55.1,Over,loss,win
2023,4,ATL,JAX,7,23,3.5,JAX -2.5,ATL +3.5,1.68%,42.5,32.82,Under,loss,win
2023,4,BAL,CLE,28,3,-2.0,BAL -0.5,CLE +2.0,-25.83%,38.5,42.67,Over,loss,loss
2023,4,CIN,TEN,3,27,-2.5,CIN -3.0,CIN -2.5,-0.34%,41.5,37.46,Under,loss,win
2023,4,DEN,CHI,31,28,-3.0,DEN -1.0,CHI +3.0,5.85%,47.0,47.27,Over,push,win
2023,4,DET,GB,34,20,-2.5,DET -1.0,GB +2.5,3.34%,45.0,50.14,Over,loss,win
2023,4,KC,NYJ,23,20,-9.5,KC -8.5,NYJ +9.5,2.42%,41.5,41.17,Under,win,loss
2023,4,LA,IND,29,23,-1.0,LA -1.0,LA -1.0,-3.51%,44.5,50.23,Over,win,win
2023,4,LV,LAC,17,24,7.0,LAC -6.5,LV +7.0,-1.94%,49.0,42.67,Under,push,win
2023,4,MIA,BUF,20,48,2.5,BUF -3.0,BUF -2.5,-2.70%,53.0,75.6,Over,win,win
2023,4,MIN,CAR,21,13,-4.5,MIN -2.5,CAR +4.5,6.09%,46.5,44.11,Under,loss,win
2023,4,NE,DAL,3,38,6.5,DAL -6.0,NE +6.5,-0.43%,43.0,39.32,Under,loss,win
2023,4,PIT,HOU,6,30,-3.0,PIT -2.0,HOU +3.0,0.51%,41.5,49.11,Over,win,loss
2023,4,SEA,NYG,24,3,-2.5,SEA -3.5,SEA -2.5,0.87%,46.5,45.13,Under,win,win
2023,4,TB,NO,26,9,4.0,NO -5.0,NO -4.0,-0.12%,41.0,38.48,Under,loss,win
2023,4,WAS,PHI,31,34,9.5,PHI -10.5,PHI -9.5,0.00%,43.0,56.61,Over,loss,win
2023,5,BAL,PIT,10,17,-4.5,BAL -4.5,PIT +4.5,-4.03%,38.5,36.3,Under,win,win
2023,5,CAR,DET,24,42,9.5,DET -8.5,CAR +9.5,1.71%,43.5,53.15,Over,loss,win
2023,5,CHI,WAS,40,20,6.0,WAS -5.0,CHI +6.0,2.17%,45.5,43.88,Under,win,loss
2023,5,CIN,ARI,34,20,-3.0,CIN -3.5,CIN -3.0,-0.75%,45.5,41.97,Under,win,loss
2023,5,DAL,SF,10,42,3.5,SF -3.0,DAL +3.5,-1.19%,45.0,51.83,Over,loss,win
2023,5,GB,LV,13,17,1.0,LV -0.0,GB +1.0,-0.11%,45.0,35.66,Under,loss,win
2023,5,HOU,ATL,19,21,2.5,ATL -2.5,ATL -2.5,-4.43%,42.0,36.73,Under,loss,win
2023,5,JAX,BUF,25,20,5.5,BUF -6.5,BUF -5.5,0.70%,48.5,56.94,Over,loss,loss
2023,5,KC,MIN,27,20,-3.5,KC -4.0,KC -3.5,-1.61%,52.5,51.9,Under,win,win
2023,5,NO,NE,34,0,2.5,NE -1.5,NO +2.5,1.57%,38.5,34.29,Under,win,win
2023,5,NYG,MIA,16,31,12.5,MIA -12.0,NYG +12.5,-1.85%,47.5,43.8,Under,loss,win
2023,5,NYJ,DEN,31,21,2.5,DEN -1.5,NYJ +2.5,1.53%,42.5,44.11,Over,win,win
2023,5,PHI,LA,23,14,-3.5,PHI -3.0,LA +3.5,-1.08%,50.5,46.92,Under,loss,win
2023,5,TEN,IND,16,23,-2.5,TEN -1.0,IND +2.5,3.51%,43.5,39.32,Under,win,win
2023,6,ARI,LA,9,26,7.0,LA -7.0,LA -7.0,-3.70%,48.0,37.25,Under,win,win
2023,6,BAL,TEN,24,16,-5.5,BAL -5.5,TEN +5.5,-4.31%,42.5,44.11,Over,loss,loss
2023,6,CAR,MIA,21,42,14.0,MIA -12.0,CAR +14.0,6.19%,47.5,50.14,Over,loss,win
2023,6,DAL,LAC,20,17,-1.5,DAL -1.5,LAC +1.5,-4.20%,49.5,46.1,Under,loss,win
2023,6,DEN,KC,8,19,10.5,KC -11.5,KC -10.5,-0.14%,47.5,43.33,Under,win,win
2023,6,DET,TB,20,6,-3.0,DET -3.0,DET -3.0,-4.53%,43.5,43.14,Under,win,win
2023,6,IND,JAX,20,37,4.0,JAX -4.5,JAX -4.0,-1.54%,44.0,51.9,Over,win,win
2023,6,MIN,CHI,19,13,-3.0,MIN -2.5,CHI +3.0,-2.30%,44.5,46.1,Over,loss,loss
2023,6,NE,LV,17,21,3.0,LV -2.5,NE +3.0,-2.42%,41.5,28.42,Under,loss,win
2023,6,NO,HOU,13,20,-2.0,NO -2.0,HOU +2.0,-4.47%,42.5,42.99,Over,win,loss
2023,6,NYG,BUF,9,14,15.5,BUF -15.5,NYG +15.5,-4.01%,43.5,35.34,Under,win,win
2023,6,PHI,NYJ,14,20,-6.5,PHI -5.5,NYJ +6.5,1.79%,43.0,46.43,Over,win,loss
2023,6,SEA,CIN,13,17,3.0,CIN -2.5,SEA +3.0,-0.30%,45.5,42.67,Under,loss,win
2023,6,SF,CLE,17,19,-9.5,SF -8.0,CLE +9.5,5.48%,36.0,48.26,Over,win,push
2023,6,WAS,ATL,24,16,1.5,ATL -3.0,ATL -1.5,3.75%,42.0,39.82,Under,loss,win
2023,7,ARI,SEA,10,20,9.5,SEA -9.5,SEA -9.5,-4.03%,43.5,28.51,Under,win,win
2023,7,ATL,TB,16,13,3.0,TB -2.0,ATL +3.0,0.93%,37.5,35.4,Under,win,win
2023,7,BUF,NE,25,29,-7.5,BUF -7.5,BUF -7.5,-3.66%,41.0,39.06,Under,loss,loss
2023,7,CLE,IND,39,38,-3.5,CLE -3.0,IND +3.5,-2.97%,40.0,50.14,Over,win,win
2023,7,DET,BAL,6,38,3.0,BAL -3.0,DET +3.0,-4.42%,43.5,45.13,Over,loss,win
2023,7,GB,DEN,17,19,1.5,DEN -0.5,GB +1.5,0.08%,44.0,38.48,Under,loss,win
2023,7,JAX,NO,31,24,2.5,NO -2.5,JAX +2.5,-3.99%,41.0,52.0,Over,win,win
2023,7,LAC,KC,17,31,5.5,KC -6.0,KC -5.5,-1.39%,48.5,43.05,Under,win,win
